,aisle,department
0,air fresheners candles,household
1,asian foods,international
2,baby accessories,babies
3,baby bath body care,babies
4,baby food formula,babies
5,bakery desserts,bakery
6,baking ingredients,pantry
7,baking supplies decor,pantry
8,beauty,personal care
9,beers coolers,alcohol
10,body lotions soap,personal care
11,bread,bakery
12,breakfast bakery,bakery
13,breakfast bars pastries,breakfast
14,bulk dried fruits vegetables,bulk
15,bulk grains rice dried goods,bulk
16,buns rolls,bakery
17,butter,dairy eggs
18,candy chocolate,snacks
19,canned fruit applesauce,canned goods
20,canned jarred vegetables,canned goods
21,canned meals beans,canned goods
22,canned meat seafood,canned goods
23,cat food care,pets
24,cereal,breakfast
25,chips pretzels,snacks
26,cleaning products,household
27,cocoa drink mixes,beverages
28,coffee,beverages
29,cold flu allergy,personal care
30,condiments,pantry
31,cookies cakes,snacks
32,crackers,snacks
33,cream,dairy eggs
34,deodorants,personal care
35,diapers wipes,babies
36,digestion,personal care
37,dish detergents,household
38,dog food care,pets
39,doughs gelatins bake mixes,pantry
40,dry pasta,dry goods pasta
41,eggs,dairy eggs
42,energy granola bars,snacks
43,energy sports drinks,beverages
44,eye ear care,personal care
45,facial care,personal care
46,feminine care,personal care
47,first aid,personal care
48,food storage,household
49,fresh dips tapenades,deli
50,fresh fruits,produce
51,fresh herbs,produce
52,fresh pasta,dry goods pasta
53,fresh vegetables,produce
54,frozen appetizers sides,frozen
55,frozen breads doughs,frozen
56,frozen breakfast,frozen
57,frozen dessert,frozen
58,frozen juice,frozen
59,frozen meals,frozen
60,frozen meat seafood,frozen
61,frozen pizza,frozen
62,frozen produce,frozen
63,frozen vegan vegetarian,frozen
64,fruit vegetable snacks,snacks
65,grains rice dried goods,dry goods pasta
66,granola,breakfast
67,hair care,personal care
68,honeys syrups nectars,pantry
69,hot cereal pancake mixes,breakfast
70,hot dogs bacon sausage,meat seafood
71,ice cream ice,frozen
72,ice cream toppings,snacks
73,indian foods,international
74,instant foods,dry goods pasta
75,juice nectars,beverages
76,kitchen supplies,household
77,kosher foods,international
78,latino foods,international
79,laundry,household
80,lunch meat,deli
81,marinades meat preparation,pantry
82,meat counter,meat seafood
83,milk,dairy eggs
84,mint gum,snacks
85,missing,missing
86,more household,household
87,muscles joints pain relief,personal care
88,nuts seeds dried fruit,snacks
89,oils vinegars,pantry
90,oral hygiene,personal care
91,other,other
92,other creams cheeses,dairy eggs
93,packaged cheese,dairy eggs
94,packaged meat,meat seafood
95,packaged poultry,meat seafood
96,packaged produce,produce
97,packaged seafood,meat seafood
98,packaged vegetables fruits,produce
99,paper goods,household
100,pasta sauce,dry goods pasta
101,pickled goods olives,pantry
102,plates bowls cups flatware,household
103,popcorn jerky,snacks
104,poultry counter,meat seafood
105,prepared meals,deli
106,prepared soups salads,deli
107,preserved dips spreads,pantry
108,protein meal replacements,personal care
109,red wines,alcohol
110,refrigerated,beverages
111,refrigerated pudding desserts,dairy eggs
112,salad dressing toppings,pantry
113,seafood counter,meat seafood
114,shave needs,personal care
115,skin care,personal care
116,soap,personal care
117,soft drinks,beverages
118,soup broth bouillon,canned goods
119,soy lactosefree,dairy eggs
120,specialty cheeses,dairy eggs
121,specialty wines champagnes,alcohol
122,spices seasonings,pantry
123,spirits,alcohol
124,spreads,pantry
125,tea,beverages
126,tofu meat alternatives,deli
127,tortillas flat bread,bakery
128,trail mix snack mix,snacks
129,trash bags liners,household
130,vitamins supplements,personal care
131,water seltzer sparkling water,beverages
132,white wines,alcohol
133,yogurt,dairy eggs
